Cloudlet,Pes,Lenght
0,4,6489
1,4,8815
2,5,6466
3,2,8430
4,4,8918
5,2,6151
6,4,8696
7,4,6848
8,5,7287
9,2,8726
10,6,6913
11,4,8387
12,6,8323
13,3,8576
14,3,8194
15,3,8456
16,1,8411
17,2,7918
18,5,6838
19,4,7259
20,6,8586
21,3,6739
22,5,8688
23,1,8833
24,6,8437
25,6,6714
26,4,8442
27,6,8626
28,3,6556
29,3,7304
30,3,8354
31,3,8542
32,5,6434
33,5,6736
34,6,7596
35,5,8610
36,5,6722
37,6,8524
38,2,8982
39,6,7322
40,4,6915
41,1,8985
42,5,8675
43,6,7194
44,1,8086
45,2,7093
46,4,6338
47,1,6907
48,4,6688
49,1,6271
