Cloudlet,Pes,Lenght
0,4,6489
1,4,8815
2,5,6466
3,2,8430
4,4,8918
5,2,6151
6,4,8696
7,4,6848
8,5,7287
9,2,8726
10,6,6913
11,4,8387
12,6,8323
13,3,8576
14,3,8194
15,3,8456
16,1,8411
17,2,7918
18,5,6838
19,4,7259
20,6,8586
21,3,6739
22,5,8688
23,1,8833
24,6,8437
25,6,6714
26,4,8442
27,6,8626
28,3,6556
29,3,7304
30,3,8354
31,3,8542
32,5,6434
33,5,6736
34,6,7596
35,5,8610
36,5,6722
37,6,8524
38,2,8982
39,6,7322
40,4,6915
41,1,8985
42,5,8675
43,6,7194
44,1,8086
45,2,7093
46,4,6338
47,1,6907
48,4,6688
49,1,6271
50,4,8715
51,2,6474
52,2,6257
53,3,8041
54,6,7002
55,2,8886
56,1,7016
57,4,8386
58,4,6313
59,5,7101
60,5,6133
61,4,7205
62,2,8248
63,6,7387
64,3,8479
65,5,7738
66,3,6046
67,4,6936
68,3,7650
69,2,8075
70,2,6021
71,3,7566
72,5,8894
73,1,8477
74,5,8952
75,1,7436
76,1,6655
77,6,7492
78,3,7011
79,3,6050
80,1,6623
81,1,6959
82,1,6707
83,4,8584
84,6,7920
85,3,6078
86,2,8471
87,6,6959
88,1,8172
89,3,6972
90,5,8447
91,4,8735
92,5,8739
93,2,7291
94,4,7667
95,3,6188
96,4,8600
97,4,6891
98,3,6929
99,6,7223
